Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_drop0.3_S2,47.0228,85.2521,97.479,24.7766,86.716,1.3614,5.5828,1.6806,114.8483,40.2790,1.8869,19.0263,50.6303,43.2815
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_drop0.3_S1,81.3117,146.2477,164.3965,42.8816,150.3419,2.3583,9.7500,2.8986,194.9569,67.7526,3.2263,32.9684,88.3226,73.1446
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_drop0.3_S3,47.0228,85.2521,97.479,24.7766,86.716,1.3614,5.5828,1.6806,114.8483,40.2790,1.8869,19.0263,50.6303,43.2815
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_drop0.3_S2,81.3117,146.2477,164.3965,42.8816,150.3419,2.3583,9.7500,2.8986,194.9569,67.7526,3.2263,32.9684,88.3226,73.1446
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_drop0.3_S2,311.8636,554.0446,606.0577,164.6923,578.9323,9.0698,37.9609,11.0725,726.3576,248.7066,12.1601,126.8477,343.2957,270.5623
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3_osl,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1_osl,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_osl,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_osl_nz,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1_nz,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1_osl_nz,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3_osl_nz,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2_nz,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_drop0.3_S2,22.0736,40.6379,47.9606,11.6106,40.4986,0.6369,2.5698,0.7930,55.8363,19.9113,0.9050,8.8954,23.3583,21.2151
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3_nz,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L6_drop0.3_S3,66.2996,120.344,137.9498,34.929,122.2167,1.919,7.8596,2.3706,162.3752,57.0235,2.6649,26.8178,71.2913,61.2324
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L6_drop0.3_S1,31.0819,57.2922,67.7821,16.3466,57.0029,0.8965,3.6128,1.1170,78.8405,28.1505,1.2765,12.5215,32.8448,29.9744
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L6_drop0.3_S3,31.0819,57.2922,67.7821,16.3466,57.0029,0.8965,3.6128,1.1170,78.8405,28.1505,1.2765,12.5215,32.8448,29.9744
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L6_drop0.3_S2,31.0819,57.2922,67.7821,16.3466,57.0029,0.8965,3.6128,1.1170,78.8405,28.1505,1.2765,12.5215,32.8448,29.9744
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_drop0.3_S3,311.8636,554.0446,606.0577,164.6923,578.9323,9.0698,37.9609,11.0725,726.3576,248.7066,12.1601,126.8477,343.2957,270.5623
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L6_drop0.3_S1,66.2996,120.344,137.9498,34.929,122.2167,1.919,7.8596,2.3706,162.3752,57.0235,2.6649,26.8178,71.2913,61.2324
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L6_drop0.3_S2,66.2996,120.344,137.9498,34.929,122.2167,1.919,7.8596,2.3706,162.3752,57.0235,2.6649,26.8178,71.2913,61.2324
